user_id,operation,date,time
0001,OP00_010,2025-04-02,08:15:20
0002,OP01_010,2025-04-02,10:45:30
0003,OP00_010,2025-04-02,12:10:50
0001,OP00_010,2025-04-02,14:30:40
0001,OP00_020,2025-04-04,08:10:30
0002,OP01_010,2025-04-04,10:25:10
0003,OP02_010,2025-04-04,12:30:20
0002,OP01_010,2025-04-09,09:25:10
0004,OP02_010,2025-04-09,11:40:05
0001,OP00_010,2025-04-09,13:50:30
0001,OP00_020,2025-04-11,14:15:45
0004,OP01_010,2025-04-11,16:40:35
0005,OP02_010,2025-04-11,18:50:50
0005,OP00_010,2025-04-16,08:35:40
0006,OP00_010,2025-04-16,10:50:25
0001,OP01_010,2025-04-16,12:10:10
0003,OP01_010,2025-04-16,15:10:20
0001,OP00_010,2025-04-18,08:10:30
0002,OP01_010,2025-04-18,10:25:10
0003,OP00_010,2025-04-18,12:30:20
0002,OP01_010,2025-04-23,09:45:00
0003,OP00_010,2025-04-23,11:30:20
0001,OP00_010,2025-04-23,14:05:15
0001,OP00_020,2025-04-25,14:15:45
0004,OP01_010,2025-04-25,16:40:35
0005,OP02_010,2025-04-25,18:50:50
0001,OP01_010,2025-04-30,08:50:30
0003,OP00_010,2025-04-30,10:15:15
0003,OP00_020,2025-04-30,12:40:45
0002,OP01_010,2025-04-30,14:55:20
